Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,MPI (4),0.079639,2668
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,CUDA,0.57339,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,Sequential,0.338975,2997
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,MPI (4),0.079536,2997
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,CUDA,0.571959,2997
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,Sequential,0.33811,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,MPI (4),0.079733,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,CUDA,0.572972,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,Sequential,0.337814,3782
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,MPI (4),0.079693,3782
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,CUDA,0.582623,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,Sequential,0.33793,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,MPI (4),0.079564,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,CUDA,0.58059,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,Sequential,0.33974,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,MPI (4),0.079645,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,CUDA,0.579725,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,Sequential,0.338366,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,MPI (4),0.079501,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,CUDA,0.585268,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,Sequential,0.337862,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,MPI (4),0.079593,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,CUDA,0.586998,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,Sequential,0.337331,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,MPI (4),0.079523,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,CUDA,0.58861,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,Sequential,0.339204,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,MPI (4),0.079927,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,CUDA,0.593738,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,Sequential,0.337148,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,MPI (4),0.079735,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,CUDA,0.620806,8535
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,Sequential,0.337176,9588
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,MPI (4),0.079407,9588
