Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,CUDA,0.539446,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,Sequential,0.089764,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,MPI (4),0.030464,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,CUDA,0.54736,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,Sequential,0.089786,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,MPI (4),0.030155,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,CUDA,0.540032,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,Sequential,0.089668,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,MPI (4),0.030152,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,CUDA,0.539583,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,Sequential,0.089558,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,MPI (4),0.03038,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,CUDA,0.541109,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,Sequential,0.089648,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,MPI (4),0.030105,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,CUDA,0.542445,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,Sequential,0.089575,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,MPI (4),0.030107,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,CUDA,0.542844,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,Sequential,0.089558,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,MPI (4),0.030266,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,CUDA,0.546138,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,Sequential,0.089582,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,MPI (4),0.030538,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,CUDA,0.539304,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,Sequential,0.089412,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,MPI (4),0.030143,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,CUDA,0.541728,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,Sequential,0.089514,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,MPI (4),0.030159,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,CUDA,0.543681,87357
